scenario,run_id,n_records,pipeline_latency_ms_p50,pipeline_latency_ms_p95,pipeline_latency_ms_p99,pipeline_latency_ms_mean,kinesis_to_lambda_ms_p50,kinesis_to_lambda_ms_p95,kinesis_to_lambda_ms_p99,kinesis_to_lambda_ms_mean,processing_latency_ms_p50,processing_latency_ms_p95,processing_latency_ms_p99,processing_latency_ms_mean
peak,1,74468,272735,834136,917710,325615,272735,834136,917710,325615,0,0,0,0
peak,2,90481,872504,1795043,1911043,969273,872504,1795043,1911043,969273,0,0,0,0
peak,3,96467,1414474,2924061,3054696,1784565,1414474,2924061,3054696,1784565,0,0,0,0
